sitename,site_id,building_name,building_id,nla,building_address,post_code,sector,num_lifts,year_built,num_rooms,num_beds
Demo_Anzac House,462,ANZAC House,18802,0,28 St Georges Tce- Perth WA,6000,retail/commercial,,1976,,
Demo_Ashburner Francis,495,Test Building 1,20631,0,,,,,,,
Demo_Blackburne,602,1050 Hay Street Perth,23579,2192,1050 Hay Street- West Perth WA,6005,commercial,,,,
Demo_Blackburne,602,Aria Luxury Apartments,23578,0,Cnr Alfred Rd & Milyarn Rise- Swanbourne WA,6010,residential,,2016,,
Demo_Burswood Residential Towers,168,Allegro Tower,10490,0,19 The Circus Burswood WA,6100,residential,,,,
Demo_Burswood Residential Towers,168,Aqua Tower,10481,0,26 The Circus Burswood WA,6100,residential,,,,
Demo_Catholic Care,501,Bethlehem House,21025,0,30 Montgomery Street Kogarah NSW,2217,aged care,,,,
Demo_Catholic Care,501,St Francis Aged Care Orange,21026,0,85-89 Clinton Street Orange NSW,2800,aged care,,,,
Demo_Churchill Knight: 1260 Hay Street,331,1260 Hay Street -Wilson Carpark ,15938,0,1260 Hay Street- West Perth WA,6005,carpark,0,,,
Demo_Churchill Knight: 1260 Hay Street,331,1260 Hay Street Office Tower,14284,5830,1260 Hay Street- West Perth WA,6005,commercial,3,,,
Demo_Claremont Hotel,554,Claremont Hotel,22117,0,1 Bayview Terrace- Claremont WA,6010,hospitality,,,,
Demo_Company Demo,474,43 Bridge Street,21558,10600,,,,,,,
Demo_Company Demo,474,61 Goulburn St,22024,0,61 Goulburn St- Sydney NSW,2000,commercial,,,,
Demo_Company Demo,474,Core Vision Perth,21172,0,3/1 Sheen St- Subiaco WA 6008,6008,resid/commercial,,,,
Demo_Company Demo,474,Core Vision Sydney,21173,0,Level 10 46 Market St- Sydney NSW,2000,commercial,,,,
Demo_Company Demo,474,PHC-Head Office,23341,5000,L6- 203 Pacific Highway St Leonards NSW,2065,commercial,,,,
Demo_Company Demo,474,PHC-Medical & Dental Centre Blacktown,23342,1500,67 Rickard Road- Bankstown NSW,2200,health care,,,,
Demo_Condor Apartments,242,Condor Apartments,11147,0,22 St Georges Tce- Perth WA,6000,residential,3,2008,,
Demo_Curtin University,288,Academic Neighbourhood (or whole of site),20665,0,Kent Street- Bentley WA,6102,education,,,,
Demo_Curtin University,288,Building 002 - Early Childhood Centre,20669,0,Kent Street- Bentley WA,6102,education,,,,
Demo_Curtin University,288,Building 101 - Central Administration,12320,0,Kent Street- Bentley WA,6102,education,,,,
Demo_Curtin University,288,Building 201 - Architecture,12315,0,Kent Street- Bentley WA,6102,education,,,,
Demo_Curtin University,288,Building 202 - Art,12317,0,Kent Street- Bentley WA,6102,education,,,,
Demo_Curtin University,288,Building 204 - Science and Engineering,12330,0,Kent Street- Bentley WA,6102,education,,,,
Demo_Curtin University,288,Building 402,12318,0,Kent Street- Bentley WA,6102,education,,,,
Demo_Curtin University,288,Carpark B12,12322,0,Kent Street- Bentley WA,6102,education,,,,
Demo_Curtin University,288,Carpark D3,12321,0,Kent Street- Bentley WA,6102,education,,,,
Demo_Curtin University,288,Education,12314,0,Kent Street- Bentley WA,6102,education,,,,
Demo_Curtin University,288,Engineering Operations,20666,0,Kent Street- Bentley WA,6102,education,,,,
Demo_Curtin University,288,Engineering Operations,20667,0,Kent Street- Bentley WA,6102,education,,,,
Demo_Curtin University,288,Engineering Operations,20668,0,Kent Street- Bentley WA,6102,education,,,,
Demo_Curtin University,288,Guild,12326,0,Kent Street- Bentley WA,6102,education,,,,
Demo_Curtin University,288,Infrastructure,20670,0,Kent Street- Bentley WA,6102,education,,,,
Demo_Curtin University,288,John Curtin Building,12325,0,Kent Street- Bentley WA,6102,education,,,,
Demo_Curtin University,288,Main Cafeteria,12324,0,Kent Street- Bentley WA,6102,education,,,,
Demo_Curtin University,288,Parking Security Centre,12329,0,Kent Street- Bentley WA,6102,education,,,,
Demo_Curtin University,288,Psychology,12316,0,Kent Street- Bentley WA,6102,education,,,,
Demo_Curtin University,288,TL Toberston Library,12323,0,Kent Street- Bentley WA,6102,education,,,,
Demo_Curtin University,288,Vickery House,12319,0,Kent Street- Bentley WA,6102,education,,,,
Demo_Elevator Direction,373,150 St Georges Terrace,21559,8688,150 St Georges Terrace- Perth WA,6000,commercial,6,1979,,
Demo_Elevator Direction,373,Central Park,21560,2381,152-158 St Georges Tce- Perth WA,6000,commercial,,1987,,
Demo_Elevator Direction,373,Central Park,21561,0,152-158 St Georges Tce- Perth WA,6000,commercial,,1987,,
Demo_Elevator Direction,373,Head Office,21551,0,152-158 St Georges Tce- Perth WA,6000,commercial,,1987,,
Demo_Empire Bar,345,Empire Bar,15668,0,220 Great Eastern Hwy- Lathlain WA,6103,bar,,,,
Demo_Executive Compass,564,Embleton Golf Complex,22516,0,McGregor Street- Embleton WA,6062,sport,0,,,
Demo_Executive Compass,564,Fremantle Sailing Club,22517,0,151 Marine Terrace- Fremantle WA,6162,retail,0,,,
Demo_FJM Group,550,338 Barker Road ,22102,0,338 Barker Road- Subiaco WA,6008,commercial,,,,
Demo_FJM Group,550,56 William Street,22101,1800,56 William Street- Perth WA,6000,commercial,2,1933/ref. 2008,,
Demo_FJM Group,550,Asado Restaurant,22103,0,34 St Quentin Avenue- Claremont WA,6010,restaurant,,,,
Demo_FJM Group,550,Bayview Terrace Shops,22104,0,46-50 Bayview Terrace- Claremont WA,6010,retail,,,,
Demo_FJM Group,550,Claremont Corner Shops,22105,0,Shop 1-8- Crn Bayview Terrace & St Quentin's Ave- Claremont  WA,6010,retail,,,,
Demo_FJM Group,550,Leederville Corner Shops,22106,0,741-749 Newcastle Street & 112-124 Oxford Street WA,6007,retail,,,,
Demo_FJM Group,550,Rogerson Building,22107,0,1 Rokeby Road- Subiaco WA,6008,commercial,,,,
Demo_GCo Electrical,607,Mumbida Wind Farm,23697,0,500 Connolly Rd- Burma Road WA,6532,industrial,,,,
Demo_GCo Electrical,607,Roy Hill Power Station,23698,0,Newman WA,6753,industrial,,,,
Demo_Haddon Place,271,Haddon,11738,0,,,,,,,
Demo_Hyatt Regency Perth,390,Hyatt Regency Perth,17286,0,99 Adelaide Tce- Perth WA,6000,hospitality,5,1988,,
Demo_London Gateway,515,Logistics Centre,21252,0,No.1 London Gateway- Stanford-le-Hope SS17 9DY- United Kingdom,,logistics,,,,
Demo_London Gateway,515,London Gateway Port,21253,0,No.1 London Gateway- Stanford-le-Hope SS17 9DY- United Kingdom,,logistics,,,,
Demo_London Gateway,515,Plot 1060,21254,0,No.1 London Gateway- Stanford-le-Hope SS17 9DY- United Kingdom,,logistics,,,,
Demo_Mercy Care,312,124 Salvado Road ,18077,195,124 Salvado Road- Wembley WA,6014,aged care,,,,
Demo_Mercy Care,312,MercyCare Wembley,18076,195,124 Salvado Road- Wembley WA,6014,aged care,,,,
Demo_Murdoch College,367,Murdoch College,15917,0,One South Street- Murdoch WA,6150,education,,,,
Demo_Next Hotels,558,Next Hotel Brisbane,22127,0,72 Queen Street- Brisbane Queensland QLD,4000,hospitality,,,304,
Demo_NextDC,412,M1 Data Centre Melbourne,17759,0,826 Lorrimer Street- Port Melbourne VIC,3207,commercial,,,,
Demo_NextDC,412,P1Perth,17758,2800,4 Millrose Dr- Malaga WA,6090,commercial,,2012,,
Demo_Norco,496,Registered Office,20716,0,,,,,,,
Demo_Norfolk Hotel,520,Norfolk Hotel,21415,0,47 South Terrace- Fremantle WA,6160,hospitality,,,,
Demo_NZES,463,Test Building,19805,0,,,,,,,
Demo_Oceanique,401,Building A,17687,0,,,,,,,
Demo_Panorama Apartments,366,Panorama Apartments,21359,0,,,hospitality,,,,
Demo_Pier 21,410,Pier 21 Hotel,21259,0,7-9 John Street- North Fremantle WA,6159,hospitality,,,,
Demo_Primewest - 1 Forrest Place,461,1 Forrest Place,18796,6543,1 Forrest Place- Perth WA,6000,commercial,,,,
Demo_Primewest - HFM,305,53 Ord Street,12642,6864,53 Ord Street- West Perth WA,6005,commercial,3,2002,,
Demo_Primewest - HFM,305,Australia Place,12643,15626,15-17 William Street- Perth WA,6000,commercial,6,1983,,
Demo_Primewest - HFM,305,Cottesloe Central,12644,12402,460 Stirling Hwy- Peppermint Grove WA,6011,retail shopping centre,,,,
Demo_Primewest - HFM,305,IBM Centre,12641,9484,1060 Hay Street- West Perth WA,6005,commercial,2,2001,,
Demo_Primewest - HFM,305,Northlands,13012,8258,17 Paghan Rd- Balcatta WA,6021,retail shopping centre,,,,
Demo_Primewest - HFM,305,Primewest Osborne Park,13006,18208,381 Scarborough Beach Road- Osborne Par WA,6017,commercial,,,,
Demo_Primewest - HFM,305,Test Building 1,12639,0,,,commercial,,,,
Demo_Service Provider,500,111 Charters Towers Road,23327,25000,111 Charters Towers Rd- Hyde Park QLD,4812,commercial,,,,
Demo_Service Provider,500,Baker - RESTAURANT,23768,400,1-3/15 Tribune St- South Brisbane QLD,4101,restaurant,,,,
Demo_Service Provider,500,Baker - WAREHOUSE,23769,3000,111 Eagle Street- Brisbane QLD,4000,warehouse,,,,
Demo_Service Provider,500,Coles Melbourne Central,20768,0,211 Latrobe St- Melbourne Central VIC,3000,retail shopping centre,,,,
Demo_Service Provider,500,Elan Property Group - Retail 1,23777,15000,Retail 1 | 850 Collins Street- Docklands VIC,3008,retail shopping centre,,,,
Demo_Service Provider,500,EVT Events Cinema George Street,23357,1500,505/525 George St- Sydney NSW,2000,commercial,,,,
Demo_Service Provider,500,EVT QT Hotel,23356,2000,49 Market St- Sydney NW,2000,hospitality,,,,
Demo_Service Provider,500,Fairfield Precinct,23325,150000,12-18 Village Drive- Fairfield QLD,4811,retail/commercial,,,,
Demo_Service Provider,500,MIP - Hippo Creek Restaurant,23776,2500,58 Southside Dr- Hillarys WA,6025,restaurant,,,,
Demo_Service Provider,500,MIP - The Boulevard Hotel,23775,10000,Cnr The Boulevard & Howtree Place- Floreat WA,6014,restaurant,,,,
Demo_Service Provider,500,PROG - Department of Finance,23779,5430,Department of Finance- William Street- Perth WA,6000,commercial,,,,
Demo_Service Provider,500,PROG - Water Corp,23780,2500,Water Corp.- 629 Newcastle Street- Leederville WA,6007,commercial,,,,
Demo_Service Provider,500,Rasmussen Mechanical,23326,300,Shop 2 / 1231 Riverway Drive Rasmussen QLD,4815,mechanical services,,,,
Demo_Service Provider,500,West End Office Park,23649,8806,254 Hall Street Centurion 157 South Africa,,,,,,
Demo_Service Provider,500,Woolworths Central Pier,20767,0,,,,,,,
Demo_Spudshed,204,Baldivis Spudshed,20056,0,124 Kerosene Ln- Baldivis WA,6171,retail,,,,
Demo_Spudshed,204,Innaloo Spudshed,20049,0,37 Ellen Stirling Blvd- Innaloo WA,6018,retail,,,,
Demo_Spudshed,204,Jandakot Liquor Shed,20053,5400,630 Karel Avenue- Jandakot WA,6164,retail,,,,
Demo_Spudshed,204,Jandakot Spudshed,20051,6000,630 Karel Avenue- Jandakot WA,6164,commercial- retail,,,,
Demo_Spudshed,204,Jandakot The Mad Butcher,20055,0,630 Karel Avenue- Jandakot WA,6164,retail,,,,
Demo_Spudshed,204,Kelmscott Spudshed,18435,0,2853 Albany Hwy- Kelmscott WA,6111,retail,,,,
Demo_Spudshed,204,Mandurah Spudshed,20058,0,Cnr Pinjarra & Ronlyn Roads- Furnissdale WA,6209,retail,,,,
Demo_Spudshed,204,O'Connor Distribution,20062,0,O'Connor WA,6163,retail,,,,
Demo_Spudshed,204,Wangara Spudshed,20060,0,37-39 Prindiville Drive- Wangara WA,6065,retail,,,,
Demo_The Esplanade Port Hedland,364,The Esplanade Hotel - Port Hedland,21360,0,2-4 Anderson Street- Port Hedland WA,6721,hospitality,,,108,
Demo_Toga Hotels,404,Adina Hotel,19841,0,33 Mounts Bay Rd- Perth WA,6000,hospitality,,,138,
Demo_Travelodge Hotels,197,Test 2,20009,0,,,,,,,
Demo_Travelodge Hotels,197,Test 2,20010,0,,,,,,,
Demo_Travelodge Hotels,197,Travelodge Wynyard,10544,0,7-9 York Street- Sydney NSW,2000,hospitality,,,283,
Demo_WACA,563,Players Pavillion,22521,0,WACA Ground- Nelson Crescent WA,6004,commercial,,,,
Demo_WACA,563,Prindiville Stand,22518,0,Nelson Crescent East Perth WA,6004,commercial,,,,
Demo_WACA,563,The WACA Ground,22519,0,Cnr Hay & Braithwaite St East Perth WA,6004,sports ground,,,,
Demo_WACA,563,WACA Museum,22520,0,cnr of Hale Street and Nelson Crescent WA,6004,commercial,,,,
